ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGATETYPE,TARGET TYPE 2,TARGET TYPE 3,REGION,TYPE,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4,,chinese,Information,longitude,latitude
1,2017/10/2,China,Tung Chung,未知,0,,,,,0,0,Private Citizens & Property,,,East Asia,针对设施的攻击,,,Incendiary,,,,,香港东涌,,114.1,22.2
2,2017/6/15,China,Fengxian,未知,0,,,,,8,65,Educational Institution,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,江苏徐州丰县,江苏徐州丰县6·15爆炸案件,116.57,34.79
3,2017/2/14,China,Pishan,Uighur Separatists,1,,,,,8,5,Private Citizens & Property,,,East Asia,武装袭击,,,Melee,,,,,新疆和田皮山县,2.14新疆皮山暴力袭击案,78.29,37.06
4,2017/1/18,China,Foshan,未知,0,,,,,0,2,Transportation,,,East Asia,炸弹袭击/爆炸,,,Explosives/Bombs/Dynamite,,,,,广东佛山,广东佛山1.18公交爆炸案（2起）,113.11,23.05
5,2016/12/28,China,Karakax,Uighur Separatists,0,,,,,5,3,Government (General),,,East Asia,炸弹袭击/爆炸,Armed Assault,,Explosives/Bombs/Dynamite,Melee,Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs),新疆墨玉县,12·28墨玉县暴恐袭击事件,79.74,37.31
6,2016/11/25,China,Hanzhong,未知,0,,,,,0,9,Private Citizens & Property,,,East Asia,武装袭击,,,Melee,,,,,陕西汉中,11·25汉中小学砍人案,108.04,33.07
7,2016/4/28,China,Xi'an,Uighur Separatists,0,,,,,8,5,Transportation,,,East Asia,劫持,,,Incendiary,,,,,西安蓝田县,4.28陕西西安客车被劫持纵火案,109.32,34.17
8,2015/12/6,China,Ejin Horo,未知,0,,,,,0,13,Police,,,East Asia,徒手袭击,针对设施的攻击,,Incendiary,Melee,Chemical,,,内蒙古伊金霍洛旗,,109.77,39.25
9,2015/9/18,China,Terek,Uighur Separatists,0,,,,,50,/,Business,Police,,East Asia,武装袭击,,,Melee,,,,,新疆拜城县,9·18新疆拜城煤矿暴恐事件,81.84,41.82
10,2015/7/26,China,Taizhou,未知,0,,,,,0,2,Airports and Aircraft,,,East Asia,武装袭击,,,Incendiary,Melee,,,,浙江台州,7·26台州客机纵火案,121.240757,28.656386
